id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
UgglNb3lGNdZ1HgCoAEC.7-H0Z7-E5UV9NANo9b_A6k,,2,"2021-05-10 17:40:23","Andreja Domitrovic","@ALES GAL Marjan Šarec se je že umaknu Luka mesec pa se še bo. Mau je še treba potrpet.",UCXuJZ89y2zl13y3P7luNyJw,http://www.youtube.com/channel/UCXuJZ89y2zl13y3P7luNyJw,1,UgglNb3lGNdZ1HgCoAEC,JellyFishBeky
UgglNb3lGNdZ1HgCoAEC.7-H0Z7-E5UV9KG6FvGWb5j,,3,"2021-02-27 09:28:17","ALES GAL","@Zvonka Facija bravo vera krusic-komunisticni banditi se protivijo-kako lepo je opazovati njihovo histerijo!!!",UCLJqGdwuIRW7yYgl9V3QCUQ,http://www.youtube.com/channel/UCLJqGdwuIRW7yYgl9V3QCUQ,1,UgglNb3lGNdZ1HgCoAEC,JellyFishBeky
UgglNb3lGNdZ1HgCoAEC.7-H0Z7-E5UV9JdP_AEAyg8,,2,"2021-02-11 23:27:27","ALES GAL","@Vera Krušič smrt komunizmu!!!!",UCLJqGdwuIRW7yYgl9V3QCUQ,http://www.youtube.com/channel/UCLJqGdwuIRW7yYgl9V3QCUQ,1,UgglNb3lGNdZ1HgCoAEC,JellyFishBeky
UgglNb3lGNdZ1HgCoAEC.7-H0Z7-E5UV9JdPVHkDEWv,,2,"2021-02-11 23:26:47","ALES GAL","Vrecko cez glavo voditeljici!!!!!!",UCLJqGdwuIRW7yYgl9V3QCUQ,http://www.youtube.com/channel/UCLJqGdwuIRW7yYgl9V3QCUQ,1,UgglNb3lGNdZ1HgCoAEC,JellyFishBeky
UgglNb3lGNdZ1HgCoAEC.7-H0Z7-E5UV8jt9L9K-IJ-,,2,"2018-08-13 10:51:51","Janez Gorenak","Ti si mal preveč drog popušil",UCeQ7arxXTmmCli8BJBMJODw,http://www.youtube.com/channel/UCeQ7arxXTmmCli8BJBMJODw,1,UgglNb3lGNdZ1HgCoAEC,JellyFishBeky
UgglNb3lGNdZ1HgCoAEC.7-H0Z7-E5UV8gWZSCO8Rx1,,3,"2018-05-21 17:24:03","Tia La Phunci","anarhistkropotkin Najprej se pisat nauči. Prav tako ni nobene potrebe, da žališ ljudi z duševnimi motnjami.",UCAk-3v7TD951WyrOtszmFPA,http://www.youtube.com/channel/UCAk-3v7TD951WyrOtszmFPA,1,UgglNb3lGNdZ1HgCoAEC,JellyFishBeky
UgglNb3lGNdZ1HgCoAEC.7-H0Z7-E5UV7FAxDjexHSl,,9,"2014-12-11 19:45:32","Vera Krušič","neokusno in nespodobno izrazila kadar mu je zazelela da ostane do smrti v zaporu..ljerka bizilj  se do Janeza Janse ponasala kot so jo v kumrovcu boljseviki naucili SOVRAZITI osebe drugacega misljenja ce ste vi tudi tega misljenja in nazora nimava kaj vec diskutirati...  ",UC2Iv21oXYHYZeZh28clKSfw,http://www.youtube.com/channel/UC2Iv21oXYHYZeZh28clKSfw,1,UgglNb3lGNdZ1HgCoAEC,JellyFishBeky
UgglNb3lGNdZ1HgCoAEC.7-H0Z7-E5UV7EFRnBWGIVx,,16,"2014-11-18 17:06:58","Zvonka Facija","@Vera Krušič Tako govori ena maloumna oseba....ste s tem mislili sebe?",UCVt3lHV3Jno8Vfku6LNJFWw,http://www.youtube.com/channel/UCVt3lHV3Jno8Vfku6LNJFWw,1,UgglNb3lGNdZ1HgCoAEC,JellyFishBeky
UgglNb3lGNdZ1HgCoAEC.7-H0Z7-E5UV77FYQpFSBE7,,20,"2014-05-28 18:25:11","Vera Krušič","tako govori samo ena maloumna oseba zadrta komunistska,nesposobna neolikana .Janez Jansa je najboljzasluzni Slovenec za naso domovino je antikomunist in zato ga vsa masinerija Udbomafije z Kucanom na celu preganja ze 25 let SLOVENIJA NUJNO POTREBUJE LUSTRACIJO.",UC2Iv21oXYHYZeZh28clKSfw,http://www.youtube.com/channel/UC2Iv21oXYHYZeZh28clKSfw,1,UgglNb3lGNdZ1HgCoAEC,JellyFishBeky
Ugw2jgxR1BknWTd986t4AaABAg,2,68,"2013-07-11 16:19:23",ee2322,"Novinarski profesionalizem, aka pri nas na VEČERU pa pzimo na napake!!!",UCoiHtsxlloyzqU5E_rxSuyQ,http://www.youtube.com/channel/UCoiHtsxlloyzqU5E_rxSuyQ,0,,
Ugw2jgxR1BknWTd986t4AaABAg.8GbhQqJEXd09PgmjGrnuEm,,4,"2021-07-12 10:04:38",Miso,"@Lil Purged najverjetneje je gospod že pokojen.",UCdU_-pc1oqE81oZMV1wNAag,http://www.youtube.com/channel/UCdU_-pc1oqE81oZMV1wNAag,1,Ugw2jgxR1BknWTd986t4AaABAg,ee2322
Ugw2jgxR1BknWTd986t4AaABAg.8GbhQqJEXd09LKjTJMU684,,2,"2021-03-26 01:07:59","Lil Purged","Ali vas lahko samo uprasam kokiko ste bili stari ko ste napisali ta komentar?",UChdyuURkFafm0fFeTVgVB-w,http://www.youtube.com/channel/UChdyuURkFafm0fFeTVgVB-w,1,Ugw2jgxR1BknWTd986t4AaABAg,ee2322
UgxZbGJm3rmX-Mib42x4AaABAg,1,55,"2013-07-02 20:24:54","Marko Slav","ah ta Jerka. Ko da bi gledal Komunistično televizijo",UCdTylp9q_SSEEgMPirAlZwQ,http://www.youtube.com/channel/UCdTylp9q_SSEEgMPirAlZwQ,0,,
UgxZbGJm3rmX-Mib42x4AaABAg.8GbqNtGrbnb9K70d8hAuJ9,,3,"2021-02-23 20:45:59","ALES GAL","Komunisticna indoktrinacija vec ne deluje uspesno!!!",UCLJqGdwuIRW7yYgl9V3QCUQ,http://www.youtube.com/channel/UCLJqGdwuIRW7yYgl9V3QCUQ,1,UgxZbGJm3rmX-Mib42x4AaABAg,"Marko Slav"
UgxrEjYB1xl7EYvtq7V4AaABAg,1,12,"2013-06-16 10:20:26","Marjan Mušič","BRAVO LJERKA vsakemu tisto kaj mu gepira pa četudi je to veliki janez",UCgpKWS0_AYLCPAAizhz30kQ,http://www.youtube.com/channel/UCgpKWS0_AYLCPAAizhz30kQ,0,,
UgxrEjYB1xl7EYvtq7V4AaABAg.8Gb_y60CYPX9KIc8s4y82F,,2,"2021-02-28 08:54:10","ALES GAL","Kdaj bodo dobili komunisti svoje-tisto kar so sejali-zlocini komunizma ne zastarajo!!!!",UCLJqGdwuIRW7yYgl9V3QCUQ,http://www.youtube.com/channel/UCLJqGdwuIRW7yYgl9V3QCUQ,1,UgxrEjYB1xl7EYvtq7V4AaABAg,"Marjan Mušič"
