id,4N19wxoie_w
published,"2013-06-14 16:34:58"
published_unix,1371227698
title,"Novinarka pove janši da ga ima dovolj"
description,
channelId,UCcZw748CpIYMNfm4CQjHuvQ
channelTitle,"obalna vstaja"
duration,PT58S
dimension,2d
definition,sd
caption,false
allowedIn,
blockedIn,
licensedContent,
viewCount,359544
likeCount,2226
dislikeCount,
favoriteCount,0
commentCount,512
uploadStatus,processed
privacyStatus,public
license,youtube
embeddable,1
publicStatsViewable,1
