id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
Ugy4ZBwy3TQbVXyQD0h4AaABAg,0,0,"2022-08-20 14:38:44","Benjamin Ajd",Hahahahahahhahahahah,UCR2WwWTzy0sTgI6TsoftLTQ,http://www.youtube.com/channel/UCR2WwWTzy0sTgI6TsoftLTQ,0,,
UgxiSYoDYBm0gL5hY0Z4AaABAg,0,0,"2022-08-18 19:00:24","Benjamin Ajd",😂😂😂😂😂,UCR2WwWTzy0sTgI6TsoftLTQ,http://www.youtube.com/channel/UCR2WwWTzy0sTgI6TsoftLTQ,0,,
UgyEWgzMXN3TbLVzU7x4AaABAg,0,0,"2022-08-13 07:50:57","Mark Lavric","Zaradi takih voditeljev kot je gospod Pucar in ostali na POP TV in A kanal na zalost se vedno gledam informativni program RTV SLO pa ceprav je zgolj “levi” propagandni kanal.,,,, Zalostno a resnicno",UC7nRvA3RBMXDGshWef792tQ,http://www.youtube.com/channel/UC7nRvA3RBMXDGshWef792tQ,0,,
UgxglB45hsvewzO0dSR4AaABAg,0,0,"2022-03-16 19:10:04","marija rodic","Ima ih 10 alo",UCDits1ES-JIubMtnowayzBg,http://www.youtube.com/channel/UCDits1ES-JIubMtnowayzBg,0,,
UgxiK8-ozZnWqbXDh0F4AaABAg,0,0,"2022-03-16 19:09:11","marija rodic","Edi vi se obnasate kot da bi se pravdali na sudišcu skrajno nekulturono",UCDits1ES-JIubMtnowayzBg,http://www.youtube.com/channel/UCDits1ES-JIubMtnowayzBg,0,,
Ugx5dzsFvJfW_RZgmQp4AaABAg,0,0,"2022-01-05 12:58:39","May Munih Krapež","ko bi se še zdaj novinarji tako postavili za javnost.",UC5dE8nkXKWA8YcQ8m2FEQmA,http://www.youtube.com/channel/UC5dE8nkXKWA8YcQ8m2FEQmA,0,,
UgyrshWkgTPC2uHJq5d4AaABAg,0,0,"2021-12-02 02:41:23","Jugo Kiss","Ne daj se Ines, ne daj se Zoki.",UCAlgJAhd5ab_ffglBpLzU3Q,http://www.youtube.com/channel/UCAlgJAhd5ab_ffglBpLzU3Q,0,,
UgwivqPEJZ0IR502KhZ4AaABAg,0,0,"2021-11-29 10:59:10","10 Downing Street","yo turbo shoutout from gnojisce",UCfpwglGq5RAy5aSiHSpoqAg,http://www.youtube.com/channel/UCfpwglGq5RAy5aSiHSpoqAg,0,,
UgxpWlgCBp5CNy0xs8N4AaABAg,0,0,"2021-09-16 15:25:31","Ne maram butlov","Ne ne skos ne ne fuuuul ga je raztrgu kvečmu sebe je raztrgu",UCr-NIB_gK1TtHN_bvn8V8Ng,http://www.youtube.com/channel/UCr-NIB_gK1TtHN_bvn8V8Ng,0,,
UgwLqqfjVnBy2-8gG-p4AaABAg,0,0,"2021-07-08 13:03:24","гробари југ","hahahahha kje je tu edi &quot;raztrgal&quot; jankovica. dokazal je le da je nekulturen in ne pusti jankovica do beseda",UCAA9EtbF6rWSaMoq8IfvVfQ,http://www.youtube.com/channel/UCAA9EtbF6rWSaMoq8IfvVfQ,0,,
UgzySeshN_EzJ6avVj94AaABAg,0,0,"2021-06-25 16:14:33","lora dejmanlora","Srb je.lopof sovražnik slovenije.stirajte ga v srbijo.",UC9epPo7rhCgNGKabN1SqO9w,http://www.youtube.com/channel/UC9epPo7rhCgNGKabN1SqO9w,0,,
UgzQ-Cu9Xv7kEwscPFJ4AaABAg,0,0,"2021-05-28 15:57:38","Marjan doberšek","2021 se zmeraj je župan",UC49xPQm2ldPqaA7A6zF3kmQ,http://www.youtube.com/channel/UC49xPQm2ldPqaA7A6zF3kmQ,0,,
UgwbDyft7wPsQ1TxzaF4AaABAg,0,0,"2021-05-27 01:00:29","Ivan Nenov",",.,. ZOKI je legenda zoki je kralj ,.,.domačini so mu folš kerje čudovit moški ,.,.lako biga najel zarasplod čebi oplodil tele posušene slovenke potomci bi bili precej drugačni iskani in spoštovani ,.,.",UCfMDwb4pL_HqtRV5lezu5mA,http://www.youtube.com/channel/UCfMDwb4pL_HqtRV5lezu5mA,0,,
Ugxqs1MAmHIuN4sRgRl4AaABAg,0,1,"2021-03-26 17:18:48","Tina RuTe","Ta Edi je totalno neolikan.",UC9rPc7lFEFEEI25o8hy680g,http://www.youtube.com/channel/UC9rPc7lFEFEEI25o8hy680g,0,,
UgwWaPR3XzBXMPiRNkJ4AaABAg,0,0,"2021-02-05 16:43:11","Mateja Katič",Lol,UCiCgV9ipuHWWyj2cCbHvZRA,http://www.youtube.com/channel/UCiCgV9ipuHWWyj2cCbHvZRA,0,,
Ugx7uIPo98h9R4LNE9V4AaABAg,0,1,"2020-12-25 10:52:48","Fit Buy","To je bilo predno se je zamenjal urednik na POPTV. 2020 pa je POPTV postala le še podaljšana roka partije in s tem pristranski medij in se pridružil RTV-ju kjer je baza partijskih lakajev.",UCYuJMYfk926Onq2Ryiy64qw,http://www.youtube.com/channel/UCYuJMYfk926Onq2Ryiy64qw,0,,
UgxuwdcLIN9LHos7x6F4AaABAg,0,0,"2020-12-24 22:08:05","Martin Otrin","jankovič kriminalc",UCSqBepO7TDAl5gkG-Qtcp1w,http://www.youtube.com/channel/UCSqBepO7TDAl5gkG-Qtcp1w,0,,
