ID	YEAR	TITLE	SUBTITLE	DIGITAL-TITLE	URL	URN	MEDIUM	CRITICAL-TITLE	ORIG-TITLE	AUTHOR	VIAF	AUTHOR-URL	TRASLATOR	TRANSLATOR-URL	WORDS	INCIPIT
Cochem_DoberLegentTehSuetnikov1750	?1750	Dober legent teh svetnikov (~1750) [PriLit]	Tu je eno lopu na tenku inu ponižnu popisanje tiga živlenja terpljenja inu smerti od teh lubeh sveteh božjeh na en sak dan tiga cjelega leta skuz pat. Dionizium od Linzburga, tiga čistiga provinca kapucinarja postavlen inu vun talen po njegovemu srečnemu zaspanju iz perpušenja teh višeh, od sve velku falarjov očišen, iz žvahtnem zvoženjam popravjen, tudi iz stue noj 30 novemi perpravlenmi perpisan	Martin von Cochem. Dober legent teh svetnikov	http://ezb.ijs.si/fedora/get/nrss:nrss_ms_014/VIEW/		manuscript		Register slovenskih rokopisov 17. in 18. stoletja. Ms 014. Martin Cochemski: Dober legent teh svetnikov.	Martin von Cochem (1634-1712)	15564599	https://www.deutsche-biographie.de/sfz58612.html#ndbcontent			39107	DOBER LEGENT TEH SVETNIKOV, TU JE ENO LOPU NA TENKU INU PONIŽNU POPISANJE TIGA ŽIVLENJA TERPL...
Cochem_Genovefa1800	?1800	Ena Lepa lubezniva inu branja vredna historja od te po nadovžnu ven izgnane svete Grafnje Genofefe iz tega mesta Pfalz (~1800) [PriLit]		Martin von Cochem. Ena Lepa lubezniva inu branja vredna historja od te po nadovžnu ven izgnane svete Grafnje Genofefe iz tega mesta Pfalz		URN:NBN:SI:DOC-5Y96DU3F	print		Ena Lepa lubezniva inu branja vredna historja od te po nadovžnu ven izgnane svete Grafnje Genofefe iz tega mesta Pfalz. Je iz nemškiga na krajnski jezik preobernena. Kranj, [1800?].	Martin von Cochem (1634-1712)	15564599	https://www.deutsche-biographie.de/sfz58612.html#ndbcontent	?Pavel Knobl (1765-1830)	https://www.slovenska-biografija.si/oseba/sbi279367/	15389	ENA LEPA LUBEZNIVA INU BRANJA VREDNA HISTORJA OD TE PO NADOVŽNU VEN IZGNANE SVETE GRAFNJE GEN...
Cochem_PoljanskiRokopis1800	?1800	Poljanski rokopis (~1800) [PriLit]	Jezusovo življenje v sto postavah	Martin von Cochem. Poljanski rokopis	http://ezb.ijs.si/fedora/get/nrss:nrss_ms_023/VIEW/		manuscript		Register slovenskih rokopisov 17. in 18. stoletja. Ms 023. Poljanski rokopis. Jezusovo življenje v sto postavah.	Martin von Cochem (1634-1712)	15564599	https://www.deutsche-biographie.de/sfz58612.html#ndbcontent			218656	Ta peta postava: Kir je Gospud Jezus Kristus v Betlehem rojen biv Per rojstvo Jezusa Kr...
Franklin_PravaPot1812	1812	Prava pot k dobrimu stanu ali ena beseda ob pravim časi (1812) [PriLit]	Nekaj za vsakiga človeka	Benjamin Franklin. Prava pot k dobrimu stanu ali ena beseda ob pravim časi		URN:NBN:SI:doc-AE1XKVLV	print		Benjamin Franklin: Prava pot k dobrimu stanu, ali ena beseda ob pravim časi. Gradec, 1812.	Benjamin Franklin (1706-1790)	56609913		Janez Nepomuk Primic (1785-1823)	https://www.slovenska-biografija.si/oseba/sbi470396/	8404	PRAVA POT K DOBRIMU STANU, ALI ENA BESEDA OB PRAVIM ČASI. Nekaj za vsakiga človeka....
Masserano_Leonard1798	1798	Kratko popisanje živlenja očeta Leonarda od Porto Mauritio, apostolskiga misionarja ordna s. Franciska ojstrišiga deržanja kloštra s. Bonaventura v Rimu (1798) [PriLit]		Giuseppe Maria di Masserano. Kratko popisanje živlenja očeta Leonarda od Porto Mauritio, apostolskiga misionarja ordna s. Franciska ojstrišiga deržanja kloštra s. Bonaventura v Rimu		URN:NBN:SI:DOC-ZVA3HFY7	print		Giuseppe Maria di Masserano: Kratko popisanje živlenja zveličaniga očeta Leonarda od Porto Mauritio. Natisneno v Lublani: per Kleinmajerju, [1798?].	Giuseppe Maria di Masserano	209100079		?Valentin Vodnik (1758-1819)	https://www.slovenska-biografija.si/oseba/sbi797061/	26995	KRATKO POPISANJE ŽIVLENJA OČETA LEONARDA OD PORTO MAURITIO, APOSTOLSKIGA MISIONARJA ORDNA S....
Neznani_Izidor1824	1824	Kmet Izidor s svojimi otroki ino ludmi, ali prispodobni navuki dobrih staršov za svoje otroke ino podložne (1824) [PriLit]	Knižica za vsakega kmeta ino težaka	Kmet Izidor s svojimi otroki ino ludmi, ali prispodobni navuki dobrih staršov za svoje otroke ino podložne		URN:NBN:SI:DOC-3VTS3358	print		Christoph Schmid: Kmet Izidor s svojimi otroki ino ludmi, ali prispodobni navuki dobrih staršov za svoje otroke ino podložne. V Radgoni, 1824.				Peter Dajnko (1787-1873)	https://www.slovenska-biografija.si/oseba/sbi168756/	21129	KMET IZIDOR S SVOJIMI OTROKI INO LUDMI, ALI PRISPODOBNI NAVUKI DOBRIH STARŠOV ZA SVOJE OTROKE...
Neznani_Izidor1835	1835	Izidor, brumni kmet (1835) [PriLit]	Bukvice ljubim kmetam podeljene	Izidor, brumni kmet		URN:NBN:SI:doc-FGKI1SXF	print		Izidor, brumni kmet. V Ljubljani, 1835.				Luka Dolinar (1794-1863)	https://www.slovenska-biografija.si/oseba/sbi176526/	13428	IZIDOR, BRUMNI KMET. Bukvice ljubim kmetam podeljene. Iz nemškiga prestavil L. Do...
Pohlin_Hagiografije1769	1769	Kratku popisuvanje tega živlenja inu pridne pobožnoste s. Florijana marterneka, koker tudi s. Donata marterneka inu s. Janeza, inu Pavla m. Pomočnikov v ognu, inu hudega vremena nevarnostah (1769) [PriLit]	S prelepeme litaniame, inu molitvucame previdenu, inu po nekdanemu predkladku v noveč pobulšanu, inu pogmiranu	Marko Pohlin. Kratku popisuvanje tega živlenja inu pridne pobožnoste s. Florijana marterneka, koker tudi s. Donata marterneka inu s. Janeza, inu Pavla m. Pomočnikov v ognu, inu hudega vremena nevarnostah		URN:NBN:SI:doc-ISDP32I0	print		Marko Pohlin: Kratku popisuvanje tega živlenja, inu pridne pobožnoste s. Floriana marterneka, koker tudi s. Donata marterneka, inu ss. Jannesa, inu Pavla mm. pomočnikov v ognu, inu hudega vremena navarnostah. Ljubljana, 1769.	Marko Pohlin (1735-1801)	50094273	https://www.slovenska-biografija.si/oseba/sbi443704/			5402	KRATKU POPISUVANJE TEGA ŽIVLENJA INU PRIDNE POBOŽNOSTE S. FLORIJANA MARTERNEKA, KOKER TUDI S....
Schmid_Evstahi1832	1832	Evstahi (1832) [PriLit]	Povest iz pisem Krištofa Šmida	Christoph von Schmid. Evstahi		URN:NBN:SI:doc-JNJPTTM4	print		Christoph Schmid: Evstahi. Povest iz pisem Krištofa Šmida. Ljubljana, 1832.	Christoph von Schmid (1768-1854)	7524803	https://www.deutsche-biographie.de/sfz78606.html#ndbcontent	Jožef Burger (1800-1870)	https://www.slovenska-biografija.si/oseba/sbi153908/	35748	EVSTAHI. Povest iz pisem Krištofa Šmida. Na svetlobo dal Jožef Burger, duhovnik v...
Schmid_Genovefa1841	1841	Genovefa (1841) [PriLit]	Povest iz starih časov za vse dobre ljudi, zlasti pa za matere in otroke	Christoph von Schmid. Genovefa		URN:NBN:SI:DOC-KYFTUPLQ	print		Christoph Schmid: Genovefa. Povest iz starih časov za vse dobre ljudi, zlasti pa za matere in otroke. Ljubljana, 1841.	Christoph von Schmid (1768-1854)	7524803	https://www.deutsche-biographie.de/sfz78606.html#ndbcontent	Franc Malavašič (1818-1863)	https://www.slovenska-biografija.si/oseba/sbi344153/	28821	GENOVEFA Povest iz starih časov za vse dobre ljudi, zlasti pa za matere in otroke....
