author_id	forename	surname	gender	birth	nationality	
PašBoris	Boris	Paš	moški	1941	Slovenija
PašIngo	Ingo	Paš	moški	1941	Slovenija
PerovšekJure	Jure	Perovšek	moški		Slovenija
PeršakAnton	Anton	Peršak	moški	1947	Slovenija
PetanŽarko	Žarko	Petan	moški	1929	Slovenija
PečnikMilan	Milan	Pečnik	moški		Slovenija
PibernikFrance	France	Pibernik	moški	1928	Slovenija
PiskBojan	Bojan	Pisk	moški	1933	Slovenija
PlanTone	Tone	Plan	moški		Slovenija
PlankoLado	Lado	Planko	moški	1949	Slovenija
PogačnikMarko	Marko	Pogačnik	moški	1944	Slovenija
PonižDenis	Denis	Poniž	moški	1948	Slovenija
PotrčMatjaž	Matjaž	Potrč	moški	1948	Slovenija
PovšeJanez	Janez	Povše	moški	1941	Slovenija
PrašnikarBernarda	Bernarda	Prašnikar	ženski		Slovenija
PrestorMiljana	Miljana	Prestor	ženski		Slovenija
PrešerenFrance	France	Prešeren	moški	1800	Slovenija
PrunčErich	Erich	Prunč	moški	1941	Slovenija
PucMatjaž	Matjaž	Puc	moški	1946	Slovenija
PungartnikMarjan	Marjan	Pungartnik	moški	1948	Slovenija
RadeščekRado	Rado	Radešček	moški	1946	Slovenija
RemecMiha	Miha	Remec	moški	1922	Slovenija
RepincDuša	Duša	Repinc	ženski		Slovenija
RobarDorinFilip	Filip	Robar Dorin	moški	1940	Slovenija
RokNataša	Nataša	Rok	ženski		Slovenija
RotarAndrej	Andrej	Rotar	moški		Slovenija
RotarBraco	Braco	Rotar	moški	1942	Slovenija
RotarDreja	Dreja	Rotar	ženski		Slovenija
RožancMarjan	Marjan	Rožanc	moški	1930	Slovenija
RudolfFranček	Franček	Rudolf	moški	1944	Slovenija
RupelDimitrij	Dimitrij	Rupel	moški	1946	Slovenija
SimičVladimir	Vladimir	Simič	moški	1950	Slovenija
SimčičSamo	Samo	Simčič	moški	1946	Slovenija
SitarSandi	Sandi	Sitar	moški	1937	Slovenija
SkrušnyJaroslav	Jaroslav	Skrušny	moški	1947	Slovenija
SmoleDominik	Dominik	Smole	moški	1929	Slovenija
SmolejVitek	Vitek	Smolej	moški		Slovenija
SmolleKarel	Karel	Smolle	moški	1944	Slovenija
