n	id	author_disp	title_disp	author_refs	title	subtitle	suptitle1	suptitle2	byline	editor	date_from	date_to	date_display	place	monograph	volnum	pages	text_type	modernism	visual	lang_type	nstd_level	foreign_lang	foreign_level	note	
326	maj68-0604	Gustav Janusch (1939)	Zamejski pesniki:: Pesem 23 (1968) [maj68]	#JanuschGustav	Pesem 23			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	10	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
327	maj68-0605	Gustav Janusch (1939)	Zamejski pesniki:: Pogrebi (1968) [maj68]	#JanuschGustav	Pogrebi			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	10	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
328	maj68-0606	Gustav Janusch (1939)	Zamejski pesniki:: Sanje (1968) [maj68]	#JanuschGustav	Sanje			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	10	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
329	maj68-0607	Karel Smolle (1944)	Zamejski pesniki:: Silvestrovka (1968) [maj68]	#SmolleKarel	Silvestrovka			Zamejski pesniki	Mače Miško		1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	10	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
330	maj68-0608	Karel Smolle (1944)	Zamejski pesniki:: Mi smo (1968) [maj68]	#SmolleKarel	Mi smo			Zamejski pesniki	Mače Miško		1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	10	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
331	maj68-0609	Karel Smolle (1944)	Zamejski pesniki:: Roke so (1968) [maj68]	#SmolleKarel	Roke so			Zamejski pesniki	Mače Miško		1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	10	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
332	maj68-0610	Karel Smolle (1944)	Zamejski pesniki:: Sen se (1968) [maj68]	#SmolleKarel	Sen se			Zamejski pesniki	Mače Miško		1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	10	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
333	maj68-0611	Karel Smolle (1944)	Zamejski pesniki:: Čas (1968) [maj68]	#SmolleKarel	Čas			Zamejski pesniki	Mače Miško		1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	10	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
334	maj68-0612	Karel Smolle (1944)	Zamejski pesniki:: Pripoveduj mi (1968) [maj68]	#SmolleKarel	Pripoveduj mi			Zamejski pesniki	Mače Miško		1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	10	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
335	maj68-0613	Florjan Lipuš (1937)	Zamejski pesniki:: Odlomek (1968) [maj68]	#LipušFlorjan	Odlomek			Zamejski pesniki	Boro Kostanek		1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	10, 15	proza	nizka	odsotna	knjižni jezik	odsotna		odsotna	
336	maj68-0614	Marko Kravos (1943)	Zamejski pesniki:: Kresna noč (1968) [maj68]	#KravosMarko	Kresna noč			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
337	maj68-0615	Marko Kravos (1943)	Zamejski pesniki:: Rahli čas (1968) [maj68]	#KravosMarko	Rahli čas			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
338	maj68-0616	Marko Kravos (1943)	Zamejski pesniki:: Škrlat (1968) [maj68]	#KravosMarko	Škrlat			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
339	maj68-0617	Marko Kravos (1943)	Zamejski pesniki:: Moja (1968) [maj68]	#KravosMarko	Moja			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
340	maj68-0618	Marko Kravos (1943)	Zamejski pesniki:: Daleč od mene (1968) [maj68]	#KravosMarko	Daleč od mene			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
341	maj68-0619	Marko Kravos (1943)	Zamejski pesniki:: Trudni vitez (1968) [maj68]	#KravosMarko	Trudni vitez			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
342	maj68-0620	Marko Kravos (1943)	Zamejski pesniki:: Stara pesem (1968) [maj68]	#KravosMarko	Stara pesem			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
343	maj68-0621	Marko Kravos (1943)	Zamejski pesniki:: Ciganska (1968) [maj68]	#KravosMarko	Ciganska			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
344	maj68-0622	Filibert Benedetič (1935)	Zamejski pesniki:: Projekcijske podobe (1968) [maj68]	#BenedetičFilibert	Projekcijske podobe			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	15	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
345	maj68-0623	Filibert Benedetič (1935)	Zamejski pesniki:: Nove besede (1968) [maj68]	#BenedetičFilibert	Nove besede			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	15	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
346	maj68-0624	Igor Tuta (1945)	Zamejski pesniki:: Pod trtami v Nabrežini (1968) [maj68]	#TutaIgor	Pod trtami v Nabrežini			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
347	maj68-0625	Igor Tuta (1945)	Zamejski pesniki:: Molitev (1968) [maj68]	#TutaIgor	Molitev			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
348	maj68-0626	Igor Tuta (1945)	Zamejski pesniki:: Izgubljeni korali (1968) [maj68]	#TutaIgor	Izgubljeni korali			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
349	maj68-0627	Igor Tuta (1945)	Zamejski pesniki:: Črni kamni (1968) [maj68]	#TutaIgor	Črni kamni			Zamejski pesniki			1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
350	maj68-0628	Meta Stvarnik (1950)	[Brez naslova] (1968) [maj68]	#StvarnikMeta							1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	16	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
351	maj68-0629	Tone Plan	Slo črk: Side one (1968) [maj68]	#PlanTone	Side one		Slo črk				1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	16	poezija	visoka	visoka	knjižni jezik	odsotna	angleščina	visoka	
352	maj68-0630	Tone Plan	Slo črk: Side two (1968) [maj68]	#PlanTone	Side two		Slo črk				1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	16	poezija	visoka	visoka	knjižni jezik	odsotna	angleščina	visoka	
353	maj68-0631	Andrej Rotar	[Brez naslova] (1968) [maj68]	#RotarAndrej							1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	16	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
354	maj68-0632	[Neznani avtor]	[Brez naslova] (1968) [maj68]								1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	16	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	Vizualna poezija: krog.
355	maj68-0633	[Neznani avtor]	[Brez naslova] (1968) [maj68]								1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	16	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	Vizualna poezija: kvadrat z osmico iz manjkajočega teksta.
356	maj68-0640	Samo Simčič (1946)	Latrodectus tredecimguttatus / skoraj marionetni gledališki šok (1968) [maj68]	#SimčičSamo	Latrodectus tredecimguttatus	skoraj marionetni gledališki šok					1968-04-15		15. april 1968	Ljubljana	Tribuna	XVI/18	14	poezija	srednja	srednja	knjižni jezik	odsotna		odsotna	Eksperimentalni postdramski tekst - latrodectus je vrsta strupenih pajkov.
357	maj68-0653	Marko Švabić (1949)	Mleko materino, včerajšnje verjetje (1968) [maj68]	#ŠvabićMarko	Mleko materino, včerajšnje verjetje						1968-04-29		29. april 1968	Ljubljana	Tribuna	XVI/19	10, 15	proza	nizka	odsotna	knjižni jezik	odsotna		odsotna	
358	maj68-0654	Ifigenija Zagoričnik (1953)	Pesem dela (1968) [maj68]	#ZagoričnikIfigenija	Pesem dela						1968-04-29		29. april 1968	Ljubljana	Tribuna	XVI/19	10, 15	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
359	maj68-0655	Ifigenija Zagoričnik (1953)	Beg (1968) [maj68]	#ZagoričnikIfigenija	Beg						1968-04-29		29. april 1968	Ljubljana	Tribuna	XVI/19	10, 15	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
360	maj68-0656	Ifigenija Zagoričnik (1953)	Lijak (1968) [maj68]	#ZagoričnikIfigenija	Lijak						1968-04-29		29. april 1968	Ljubljana	Tribuna	XVI/19	10, 15	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
361	maj68-0657	Ifigenija Zagoričnik (1953)	Rana (1968) [maj68]	#ZagoričnikIfigenija	Rana						1968-04-29		29. april 1968	Ljubljana	Tribuna	XVI/19	10, 15	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
362	maj68-0658	Ifigenija Zagoričnik (1953)	Strah (1968) [maj68]	#ZagoričnikIfigenija	Strah						1968-04-29		29. april 1968	Ljubljana	Tribuna	XVI/19	10, 15	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
363	maj68-0659	Ifigenija Zagoričnik (1953)	Povej mi zgodbo (1968) [maj68]	#ZagoričnikIfigenija	Povej mi zgodbo						1968-04-29		29. april 1968	Ljubljana	Tribuna	XVI/19	10, 15	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
364	maj68-0660	Manca Čermelj	Žlebiček (1968) [maj68]	#ČermeljManca	Žlebiček				Manica Čermelj		1968-04-29		29. april 1968	Ljubljana	Tribuna	XVI/19	16	proza	odsotna	odsotna	knjižni jezik	odsotna		odsotna	
365	maj68-0661	Marijan Štancar (1941)	Martin Luther - King (1968) [maj68]	#ŠtancarMarijan	Martin Luther - King						1968-04-29		29. april 1968	Ljubljana	Tribuna	XVI/19	16	poezija	srednja	nizka	knjižni jezik	odsotna		odsotna	
366	maj68-0662	Vojin Kovač (1949)	uvodnik v nenapisano dramo (1968) [maj68]	#KovačVojin	uvodnik v nenapisano dramo						1968-04-29		29. april 1968	Ljubljana	Tribuna	XVI/19	16	poezija	srednja	odsotna	mladostniški sleng	nizka		odsotna	
367	maj68-0667	Aleksander Zorn (1947)	Jaz, Edvard (1968) [maj68]	#ZornAleksander	Jaz, Edvard						1968-04-29		29. april 1968	Ljubljana	Tribuna	XVI/19	17	proza	visoka	srednja	splošni pogovorni jezik	nizka	srbohrvaščina	nizka	Aluzije na angleško balado.
368	maj68-0671	Matjaž Hanžek (1949)	[Brez naslova] (1968) [maj68]	#HanžekMatjaž							1968-04-29		29. april 1968	Ljubljana	Tribuna	XVI/19	21	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	Likovno oblikovana beseda ples.
369	maj68-0684	Jožef Čuden (1896)	Okupirana Ljubljana (1968) [maj68]	#ČudenJožef	Okupirana Ljubljana						1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	11	poezija	odsotna	odsotna	knjižni jezik	odsotna		odsotna	Tradicionalen sonet o osvoboditvi Ljubljane kot komentar na aktualne dogodke.
370	maj68-0687	Pavel Lužan (1946)	Prazen praznik: 1 (1968) [maj68]	#LužanPavel	1		Prazen praznik				1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	14	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
371	maj68-1438	Pavel Lužan (1946)	Prazen praznik: 2 (1968) [maj68]	#LužanPavel	2		Prazen praznik				1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	14	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
372	maj68-1439	Pavel Lužan (1946)	Prazen praznik: 3 (1968) [maj68]	#LužanPavel	3		Prazen praznik				1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	14	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
373	maj68-0688	Pavel Lužan (1946)	Domus: 1 (1968) [maj68]	#LužanPavel	1		Domus				1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	14	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
374	maj68-1440	Pavel Lužan (1946)	Domus: 2 (1968) [maj68]	#LužanPavel	2		Domus				1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	14	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
375	maj68-0689	Pavel Lužan (1946)	Parte nulla: 1 (1968) [maj68]	#LužanPavel	1		Parte nulla				1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	14	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
376	maj68-1441	Pavel Lužan (1946)	Parte nulla: 2 (1968) [maj68]	#LužanPavel	2		Parte nulla				1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	14	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
377	maj68-1442	Pavel Lužan (1946)	Parte nulla: 3 (1968) [maj68]	#LužanPavel	3		Parte nulla				1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	14	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
378	maj68-1443	Pavel Lužan (1946)	Parte nulla: 4 (1968) [maj68]	#LužanPavel	4		Parte nulla				1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	14	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
379	maj68-1421	Robert Ceglar	Liki: Deltoid (1968) [maj68]	#CeglarRobert	Deltoid		Liki				1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	17	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
380	maj68-0690	Robert Ceglar	Liki: Romb (1968) [maj68]	#CeglarRobert	Romb		Liki				1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	17	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
381	maj68-0691	Robert Ceglar	Liki: Kvadrat (1968) [maj68]	#CeglarRobert	Kvadrat		Liki				1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	17	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
382	maj68-0692	Robert Ceglar	Liki: Krog (1968) [maj68]	#CeglarRobert	Krog		Liki				1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	17	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
383	maj68-0693	Robert Ceglar	Liki: Točka (1968) [maj68]	#CeglarRobert	Točka		Liki				1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	17	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
384	maj68-0694	Božo Šprajc (1947)	Molitev (1968) [maj68]	#ŠprajcBožo	Molitev						1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	17	poezija	srednja	nizka	knjižni jezik	odsotna		odsotna	Tri enote cikla.
385	maj68-0695	Marijan Murovec	Vozlišče (1968) [maj68]	#MurovecMarijan	Vozlišče						1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	17	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
386	maj68-0696	Marijan Murovec	Ljubezenska pesem: 1 (1968) [maj68]	#MurovecMarijan	1		Ljubezenska pesem				1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	17	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
387	maj68-0697	Marijan Murovec	Ljubezenska pesem: 2 (1968) [maj68]	#MurovecMarijan	2		Ljubezenska pesem				1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	17	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
388	maj68-0698	Marijan Murovec	Poizkusno stanje (1968) [maj68]	#MurovecMarijan	Poizkusno stanje						1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	17	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
389	maj68-0699	Vladimir Gajšek (1946)	Oda zemlji:: Hvalnice: 5 (1968) [maj68]	#GajšekVladimir	5		Hvalnice	Oda zemlji			1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	18, 19	poezija	srednja	srednja	knjižni jezik	odsotna		odsotna	Narava, erotika v tradiciji Podbevška.
390	maj68-1525	Vladimir Gajšek (1946)	Oda zemlji:: Hvalnice: 6 (1968) [maj68]	#GajšekVladimir	6		Hvalnice	Oda zemlji			1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	18, 19	poezija	srednja	srednja	knjižni jezik	odsotna		odsotna	Narava, erotika v tradiciji Podbevška.
391	maj68-1526	Vladimir Gajšek (1946)	Oda zemlji:: Hvalnice: 7 (1968) [maj68]	#GajšekVladimir	7		Hvalnice	Oda zemlji			1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	18, 19	poezija	srednja	srednja	knjižni jezik	odsotna		odsotna	Narava, erotika v tradiciji Podbevška.
392	maj68-1527	Vladimir Gajšek (1946)	Oda zemlji:: Hvalnice: 8 (1968) [maj68]	#GajšekVladimir	8		Hvalnice	Oda zemlji			1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	18, 19	poezija	srednja	srednja	knjižni jezik	odsotna		odsotna	Narava, erotika v tradiciji Podbevška.
393	maj68-1528	Vladimir Gajšek (1946)	Oda zemlji:: Hvalnice: 9 (1968) [maj68]	#GajšekVladimir	9		Hvalnice	Oda zemlji			1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	18, 19	poezija	srednja	srednja	knjižni jezik	odsotna		odsotna	Narava, erotika v tradiciji Podbevška.
394	maj68-1529	Vladimir Gajšek (1946)	Oda zemlji:: Hvalnice: 10 (1968) [maj68]	#GajšekVladimir	10		Hvalnice	Oda zemlji			1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	18, 19	poezija	srednja	srednja	knjižni jezik	odsotna		odsotna	Narava, erotika v tradiciji Podbevška.
395	maj68-1530	Vladimir Gajšek (1946)	Oda zemlji:: Hvalnice: 11 (1968) [maj68]	#GajšekVladimir	11		Hvalnice	Oda zemlji			1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	18, 19	poezija	srednja	srednja	knjižni jezik	odsotna		odsotna	Narava, erotika v tradiciji Podbevška.
396	maj68-1531	Vladimir Gajšek (1946)	Oda zemlji:: Hvalnice: 12 (1968) [maj68]	#GajšekVladimir	12		Hvalnice	Oda zemlji			1968-05-20		20. maj 1968	Ljubljana	Tribuna	XVI/20	18, 19	poezija	srednja	srednja	knjižni jezik	odsotna		odsotna	Narava, erotika v tradiciji Podbevška.
397	maj68-0712	Andrej Rotar	[Brez naslova] (1968) [maj68]	#RotarAndrej							1968-06-03		3. junij 1968	Ljubljana	Tribuna	XVI/21	22	poezija	visoka	odsotna	mladostniški sleng	nizka		odsotna	Kontradikcija kot postopek.
398	maj68-0713	Vojin Kovač (1949)	Nezakasnela ne-polemika ali kje so iluzije (1968) [maj68]	#KovačVojin	Nezakasnela ne-polemika ali kje so iluzije						1968-06-03		3. junij 1968	Ljubljana	Tribuna	XVI/21	22	hibrid	visoka	visoka	knjižni jezik	odsotna		odsotna	"Pesemsko besedilo s številčenimi enotami; teorija pesmi, knjige in polemika z Ivom Svetino."
399	maj68-0714	Marko Švabić (1949)	Najnavadnejši pogrošni telesa gnus (1968) [maj68]	#ŠvabićMarko	Najnavadnejši pogrošni telesa gnus						1968-06-03		3. junij 1968	Ljubljana	Tribuna	XVI/21	25	proza	visoka	odsotna	knjižni jezik	odsotna		odsotna	Arhaizmi, jezikovne grimase.
400	maj68-0715	Matjaž Kocbek (1946)	Golobček (1968) [maj68]	#KocbekMatjaž	Golobček						1968-06-03		3. junij 1968	Ljubljana	Tribuna	XVI/21	26	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	Kocbekova in Zagoričnikova pesem sta ločeni s Pogačnikovim piktogramskim tekstom.
401	maj68-0716	Franci Zagoričnik (1933)	Seansa (1968) [maj68]	#ZagoričnikFranci	Seansa						1968-06-03		3. junij 1968	Ljubljana	Tribuna	XVI/21	26	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	Aluzija na Prešerna.
402	maj68-0738	Marko Kravos (1943)	Vietnamu in zdaj še Češkoslovaški:: Vojna: 1 (1968) [maj68]	#KravosMarko	1		Vojna	Vietnamu in zdaj še Češkoslovaški			1968-10-09		9. oktober 1968	Ljubljana	Tribuna	XVII/1	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
403	maj68-1444	Marko Kravos (1943)	Vietnamu in zdaj še Češkoslovaški:: Vojna: 2 (1968) [maj68]	#KravosMarko	2		Vojna	Vietnamu in zdaj še Češkoslovaški			1968-10-09		9. oktober 1968	Ljubljana	Tribuna	XVII/1	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
404	maj68-1445	Marko Kravos (1943)	Vietnamu in zdaj še Češkoslovaški:: Vojna: 3 (1968) [maj68]	#KravosMarko	3		Vojna	Vietnamu in zdaj še Češkoslovaški			1968-10-09		9. oktober 1968	Ljubljana	Tribuna	XVII/1	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
405	maj68-1446	Marko Kravos (1943)	Vietnamu in zdaj še Češkoslovaški:: Vojna: 4 (1968) [maj68]	#KravosMarko	4		Vojna	Vietnamu in zdaj še Češkoslovaški			1968-10-09		9. oktober 1968	Ljubljana	Tribuna	XVII/1	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
406	maj68-1447	Marko Kravos (1943)	Vietnamu in zdaj še Češkoslovaški:: Vojna: 5 (1968) [maj68]	#KravosMarko	5		Vojna	Vietnamu in zdaj še Češkoslovaški			1968-10-09		9. oktober 1968	Ljubljana	Tribuna	XVII/1	15	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
407	maj68-0742	Milenko Vakanjac (1939)	Smiješno kao samac (1968) [maj68]	#VakanjacMilenko	Smiješno kao samac						1968-10-09		9. oktober 1968	Ljubljana	Tribuna	XVII/1	12, 13	proza	visoka	odsotna	splošni pogovorni jezik	nizka	srbohrvaščina	visoka	Besedilo je v celoti v srbohrvaščini.
408	maj68-0743	Dimitrij Rupel (1946)	Tovariš docent odganja izumitelje (1968) [maj68]	#RupelDimitrij	Tovariš docent odganja izumitelje						1968-10-09		9. oktober 1968	Ljubljana	Tribuna	XVII/1	13	proza	nizka	odsotna	knjižni jezik	odsotna		odsotna	
409	maj68-0744	Marko Švabić (1949)	Kadilnik / Miniatura (1968) [maj68]	#ŠvabićMarko	Kadilnik	Miniatura			Švabič Marko		1968-10-09		9. oktober 1968	Ljubljana	Tribuna	XVII/1	14	proza	visoka	odsotna	knjižni jezik	odsotna		odsotna	Vključena zaumna pesem.
410	maj68-0752	Vojin Kovač (1949)	Oda kulturni revoluciji (1968) [maj68]	#KovačVojin	Oda kulturni revoluciji						1968-10-28		28. oktober 1968	Ljubljana	Tribuna	XVII/2	2	poezija	nizka	odsotna	splošni pogovorni jezik	srednja		odsotna	
411	maj68-0761	Ivo Svetina (1948)	Slovenska apokalipsa / Opereta, V spomin mojemu telovadnemu učitelju, Svoji k svojcem (1968) [maj68]	#SvetinaIvo	Slovenska apokalipsa	Opereta, V spomin mojemu telovadnemu učitelju, Svoji k svojcem					1968-10-28		28. oktober 1968	Ljubljana	Tribuna	XVII/2	10, 15	poezija	srednja	odsotna	splošni pogovorni jezik	odsotna		odsotna	Pesmi čez dve strani, zasukani za 90 stopinj glede na ostale strani v časopisu. Podpis v verzalkah: 442 Ivo Svetina 442. Ilustracije Junoš Miklavc - Ml. 442.
412	maj68-0763	Franci Zagoričnik (1933)	Dolga in vijugasta pot Petra Jerneja na poti v Rio (1968) [maj68]	#ZagoričnikFranci	Dolga in vijugasta pot Petra Jerneja na poti v Rio						1968-10-28		28. oktober 1968	Ljubljana	Tribuna	XVII/2	12, 13	proza	visoka	nizka	splošni pogovorni jezik	srednja		odsotna	
413	maj68-0766	Ifigenija Zagoričnik (1953)	Konec doseže cilj (1968) [maj68]	#ZagoričnikIfigenija	Konec doseže cilj						1968-10-28		28. oktober 1968	Ljubljana	Tribuna	XVII/2	14	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	Soavtorstvo z Matijo Bečkovićem.
414	maj68-0767	Ifigenija Zagoričnik (1953)	Slikanica (1968) [maj68]	#ZagoričnikIfigenija	Slikanica						1968-10-28		28. oktober 1968	Ljubljana	Tribuna	XVII/2	14	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
415	maj68-0768	Bogdana Herman (1948)	Kdajpakdaj me je malo strah (1968) [maj68]	#HermanBogdana	Kdajpakdaj me je malo strah						1968-10-28		28. oktober 1968	Ljubljana	Tribuna	XVII/2	14	poezija	odsotna	odsotna	knjižni jezik	odsotna		odsotna	
416	maj68-0769	Pavel Lužan (1946)	Kovači (1968) [maj68]	#LužanPavel	Kovači						1968-10-28		28. oktober 1968	Ljubljana	Tribuna	XVII/2	14	proza	odsotna	odsotna	knjižni jezik	odsotna		odsotna	
417	maj68-0770	Matjaž Hanžek (1949)	[Brez naslova] (1968) [maj68]	#HanžekMatjaž							1968-10-28		28. oktober 1968	Ljubljana	Tribuna	XVII/2	14	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	Vizualna poezija - 3 pesmi ena pod drugo, sestavljene iz črk y, n in y.
418	maj68-0773	Andrej Medved (1947)	Fragmentarni uvodnik v Mišljenje igre (1968) [maj68]	#MedvedAndrej	Fragmentarni uvodnik v Mišljenje igre						1968-10-28		28. oktober 1968	Ljubljana	Tribuna	XVII/2	21	hibrid	srednja	odsotna	knjižni jezik	odsotna	stara grščina	nizka	
419	maj68-0785	[Neznani avtor]	[Brez naslova] (1968) [maj68]								1968-11-04		4. november 1968	Ljubljana	Tribuna	XVII/3	7	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	Letristična poezija - 3 pesmi navpično ob desnem robu strani.
420	maj68-1532	[Neznani avtor]	[Brez naslova] (1968) [maj68]								1968-11-04		4. november 1968	Ljubljana	Tribuna	XVII/3	7	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	Letristična poezija - 3 pesmi navpično ob desnem robu strani.
421	maj68-1533	[Neznani avtor]	[Brez naslova] (1968) [maj68]								1968-11-04		4. november 1968	Ljubljana	Tribuna	XVII/3	7	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	Letristična poezija - 3 pesmi navpično ob desnem robu strani.
